,camis,std_dba,building,street,boro,cuisine,insp_type,ts,grade,score,lat,long,county,year,tt_a,tt_b,tt_c
11225,41454419,JEUN JU KOREAN RESTAURANT,40-11,150 Street,Queens,Korean,Cycle Inspection / Re-inspection,2023-02-27,B,25.0,40.763380515108,-73.814281121872,Queens,2023,,B,
11237,41454471,ASIAN JEWELS SEAFOOD RESTAURANT,133-30,39 Avenue,Queens,Chinese,Cycle Inspection / Re-inspection,2019-12-19,A,11.0,40.75909344598,-73.834157180609,Queens,2019,A,,
11241,41454948,KING WOK,184-20,Horace Harding Expressway,Queens,Chinese,Cycle Inspection / Re-inspection,2022-01-27,A,12.0,40.739686745873,-73.789870119446,Queens,2022,A,,
11243,41455044,MR BIGGS BAR AND GRILL,596,10 Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2019-08-15,A,9.0,40.760385178919,-73.994903045468,New York,2019,A,,
11251,41455068,OVEST PIZZOTECA,513,West 27 Street,Manhattan,Pizza,Cycle Inspection / Re-inspection,2022-06-14,C,42.0,40.750638602074,-74.003345738593,New York,2022,,,C
11256,41455211,PARSONS ALE HOUSE,7908,Parsons Boulevard,Queens,American,Cycle Inspection / Re-inspection,2018-01-22,A,10.0,40.720743322338,-73.809292040454,Queens,2018,A,,
11258,41456053,LA ABUNDANCIA BAKERY AND RESTAURANT,75-02,Roosevelt Avenue,Queens,Latin American,Cycle Inspection / Re-inspection,2019-05-01,A,9.0,40.746943952474,-73.890343809394,Queens,2019,A,,
11262,41456225,PREVITI PIZZA,122,East 41 Street,Manhattan,Pizza,Cycle Inspection / Re-inspection,2019-10-15,A,2.0,40.750919039801,-73.976918997877,New York,2019,A,,
11263,41456436,MARINA BIZCOCHOS,9308,Corona Avenue,Queens,Bakery Products/Desserts,Cycle Inspection / Re-inspection,2022-09-19,C,32.0,40.742381306368,-73.871051670878,Queens,2022,,,C
11273,41456522,MAGNOLIA BAKERY,107,East 42 Street,Manhattan,Bakery Products/Desserts,Cycle Inspection / Re-inspection,2022-09-20,A,13.0,40.75186875587,-73.97706303867,New York,2022,A,,
11276,41456579,SUBWAY,2011,Church Avenue,Brooklyn,Sandwiches,Cycle Inspection / Re-inspection,2020-02-18,A,3.0,40.650110183329,-73.960780368158,Kings,2020,A,,
11277,41456654,CAFE ARGENTINO,499,Grand Street,Brooklyn,Latin American,Cycle Inspection / Re-inspection,2020-01-29,A,9.0,40.710949940296,-73.951196560738,Kings,2020,A,,
11282,41456771,TAQUERIA COATZINGO,7605,Roosevelt Avenue,Queens,Mexican,Cycle Inspection / Re-inspection,2023-01-12,C,56.0,40.747055593936,-73.88941249802,Queens,2023,,,C
11293,41456863,THE MAD DONKEY,32-07,36 Avenue,Queens,American,Cycle Inspection / Re-inspection,2023-01-19,A,12.0,40.756139016607,-73.92879518487,Queens,2023,A,,
11296,41457158,THE MUSIC BOX,40-08,74 Street,Queens,Bottled Beverages,Cycle Inspection / Re-inspection,2023-02-09,A,11.0,40.746335566929,-73.891344502046,Queens,2023,A,,
11300,41457424,JIMBOS HAMBURGER PALACE,4137,White Plains Road,Bronx,Hamburgers,Cycle Inspection / Re-inspection,2022-06-16,B,26.0,40.891688725029,-73.858329629066,Bronx,2022,,B,
11304,41457451,COPPOLAS,206,West 79 Street,Manhattan,Italian,Cycle Inspection / Re-inspection,2023-01-04,A,7.0,40.783302031984,-73.978738500306,New York,2023,A,,
11309,41457591,ROSSYS BAKERY COFFEE SHOP,242,East 3 Street,Manhattan,Spanish,Cycle Inspection / Re-inspection,2021-12-23,A,10.0,40.722212449301,-73.981914772096,New York,2021,A,,
11311,41457638,FINEST DUMPLING RESTAURANT,25B,Henry Street,Manhattan,Chinese,Cycle Inspection / Re-inspection,2022-02-09,A,11.0,40.712873368294,-73.996255769787,New York,2022,A,,
11313,41458001,DIXON PLACE,161,Chrystie Street,Manhattan,American,Cycle Inspection / Re-inspection,2017-07-11,A,5.0,40.720613435312,-73.992571995377,New York,2017,A,,
11317,41458571,WESTVILLE,246,West 18 Street,Manhattan,American,Cycle Inspection / Re-inspection,2019-09-11,A,12.0,40.74161387147,-73.999224125151,New York,2019,A,,
11319,41458613,NIGHT OF JOY,667,Lorimer Street,Brooklyn,American,Cycle Inspection / Re-inspection,2019-10-02,A,12.0,40.716921975771,-73.949846618718,Kings,2019,A,,
11323,41458617,RED RIBBON BAKESHOP,6502,Roosevelt Avenue,Queens,Filipino,Cycle Inspection / Re-inspection,2019-12-24,A,4.0,40.746048769553,-73.898884097375,Queens,2019,A,,
11328,41459414,NEW YUNG HONG,271,West Kingsbridge Road,Bronx,Chinese,Cycle Inspection / Re-inspection,2019-07-08,A,9.0,40.872850411324,-73.905126780968,Bronx,2019,A,,
11330,41459743,EVERYDAY GOURMET DELI,369,Lexington Avenue,Manhattan,American,Cycle Inspection / Re-inspection,2022-11-18,A,12.0,40.750575892891,-73.97666286348,New York,2022,A,,
11332,41459923,DUNKIN,2083,Lexington Avenue,Manhattan,Donuts,Cycle Inspection / Re-inspection,2023-03-03,A,13.0,40.804841273182,-73.937061694761,New York,2023,A,,
